,id,title,author,day,genre,story,platform,thumb
141,142,화홍 [19세 완전판],"서윤영,원작 소설 이지환",완결,웹툰,"<1부>
단국의 고고하고 잘난 ‘욱제’ 전하, 어리고 못난 ‘소혜’ 아씨를 중전으로 맞이하였도다. 
허나 욱제 전하, 잉첩인 ‘희란’만 어여삐 여기고, 
조강지처 소혜 아씨, 소박만 주는구나. 
외롭고 힘든 궁궐 생활 홀로 버텨내던 중전마마, 
이제 회임할 수 있는 진짜 여인이 되었으니! 
어느 순간 욱제 전하의 눈길이 중전마마에게로 향하는 것인데ㅡ
두 지존마마, 과연 귀한 사랑의 결실을 이룰 수 있을 것인가? 

로맨스 장편 소설의 대가 이지환 작가의 원작 [화홍]이 
본격 궁중 로맨스 만화로 재탄생!!! 

------------------------------------------------------------------------------------------

<2부>
욱제 전하와 소혜 마마 슬하 
네 분의 왕자님과 두 분의 공주를 두셨으니, 
이는 단국의 큰 복이라~ 
장성하시어 세자빈을 맞이할 보령되신 단국의 세자저하, 
예전부터 맘에 품었던 처자 ‘연희’ 아씨 계셨으나 
연희 아씨 성정 보통 아니라. 
세자빈 되겠노라 저하와 약조해두곤 도망치기 일쑤로구나. 
겨우겨우 세자빈 간택은 되었으나 
간택된 날조차도 궐 담 넘겠다 아둥바둥하던 연희 아씨, 
미리 아씨를 기다리고 있던 세자저하에게 보쌈당해버리니! 
그 밤에 세자저하와 연희 아씨 과연 무슨 일이 있었으려나~?!

더욱 화려하고 더욱 색(色)스러워진 <화홍> 2부! 
각양각색 스타일의 구중궁궐 연애담을 지금 만나보세요~",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=bAHMfV/hzMT5ybr2v/ZSCP7NWWiIAEtTBB4hs2s0&filename=th3
142,143,하지점,YUJU,완결,웹툰,"“키스는, 어떻게 하는 거예요?”


 눈이 끓는다.


“제가 키스를 안 해봐서.. 도와주세요.. 네?”

카페를 운영하는 이혼녀 서하는, 이제 갓 스무 살이 된 알바생 지후에게 묘한 감정을 느낀다.
불행했던 결혼 생활이 문득 떠오를 때마다 지후의 몸을 탐하는 서하.
서하는 지후와의 섹스에 속절없이 빠져든다.

마치 전 남편인 연우와 연애할 때처럼.


“숨 쉬어요. 한 번 더 할 거니까.”",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=btwma2/hynaFZuH1z/HYkdcAXSkBtkAqnMkpwmE1&filename=th3
143,144,그녀가 공작저로 가야 했던 사정,"고래,밀차",완결,로판,"의문의 사망 이후, 소설 속으로 빙의하게 된 재수생 박은하.
하지만 그녀가 빙의한 인물은 주인공도 아닌 약혼자에게 독살당해 죽는 엑스트라, 레리아나 맥밀런?!

그녀가 살아남을 유일한 길은 약혼자와의 파혼뿐!
레리아나(=박은하)는 소설 남주, 노아 윈나이트에게 계약 약혼을 청하게 되는데…….

“단 6개월만 약혼자 흉내를 내주신다면 그 후에는, 공작님 인생에서 깨끗이 사라져 드리죠.”
“좋아. 대신 내가 필요할 때에는 꼭 내 약혼녀로서의 역할을 해내 줘야겠어.”

그러나 노아 이 자식…….
천사 같은 얼굴 뒤에 까만 속내를 감춘 악마보다 더한 놈이었다?!

그녀는 죽음의 운명에서 벗어날 수 있을까?
냉혈 공작, 노아 윈나이트 X 당찬 빙의녀, 레리아나 맥밀런의 파란만장 로맨스 판타지!


[로고 디자인] 디자인그룹 헌드레드",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=czxZHo/hyLi9WYsC6/uazKu7PYTH0JJjouKmfcqK&filename=th3
144,145,웨딩드레스를 벗기는 방법 [19세 완전판],"해피북스투유,아초,요안나",완결,웹툰,"‘결혼식은 하루지만 결혼은 삶이다.’
평소의 신념을 들며 아이힐 대표의 스카우팅을 거절한 재벌 전문 웨딩플래너 이지수.
끝까지 그렇게 돌아섰으면 멋있었을 텐데...
갑자기 떠안은 5억의 빚 때문에 술에 취해 그 남자와 하룻밤을 보내버렸다.
게다가… 키스를 내가 먼저 하셨네요?


“어젠 제가 큰 실수를 한 것 같습니다.”
“제가 왜 이지수 씨를 스카우팅 했는지 압니까? 
……의연함과 책임감이 멋있었습니다. 
이지수 씨, 이렇게 책임감 없는 사람이었습니까?”

이 남자, 32년 만에 처음 우린 명차(名茶)라며 자길 책임지란다.
아니 난 직원이고, 대표님은 대표님이잖아?!!

다이아몬드 티아라 빚과 함께 떠맡아 버린 회사 대표님. 
그런데 이 모든 게 그의 계략이었다?!
사람이건 음식이건 한 번 꽂힌 건 물러섬 없는 그가 보여주는
비즈니스 인수합방(?) 로맨스, <웨딩드레스를 벗기는 방법>",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=JZJ3t/hzMT8bn8c3/eljHJNfkE5YckrJZSGHu5k&filename=th3
145,146,악역에게 청혼받았습니다,"빡킬(Terapin),사동,십삼월의새벽",완결,로판,"악역의 살인 현장을 목격해 버렸다. 심지어 들켰다.
내 인생 종 치는 소리가 여기까지 들리는 것 같다.
그러나 그가 내게 건넨 것은…

""나와 결혼해 줘요.""

반지였다. 그것도 알이 몹시 큰. 이게 무슨 일이야?! 

""영애도 죽는 것보단 이게 나을 텐데요, 결혼합시다, 우리.""

소설 속 악역 최종보스 남주와의 서늘한 결혼생활이 시작됩니다!

[타이틀 로고 디자인: 디자인그룹 헌드레드]",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=hl5uq/hzp2jlQUiX/OuFp20XkEPY8VYC5pktm30&filename=th3
146,147,스윗 드림 (Sweet Dream) [19세 완전판],고슈,완결,웹툰,"사내 연애로 엉망이 된 그녀,
이번엔 팀장님의 탈을 쓴 몽마의 유혹에 빠진다!

사내 연애 실패 후, 이젠 사내연애라면 지긋지긋한 재희.
그녀는 어느 날부터 팀장님이 나오는 꿈을 꾼다.
덕분에 밤잠을 설치고, 업무는 엉망진창.

“이상한 꿈만 꾸더니, 내가 미쳤나 봐!”

재희는 몽마에게 완전히 홀려 꿈이 아닌
현실에서까지 팀장님과 엮이게 되는데…",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=e3Iss/hzN2fsTg27/esZN8KyLoZBlhqDFEFkGtK&filename=th3
147,148,악녀의 남주님(19세 완전판),"R수없음,이하론",완결,웹툰,"유니페 마그놀리아.

여주인공 라엘 카니아의 친구이자 악녀.

소설 속 유니페는
남주 이시드를 사랑하여
그의 사랑을 받는 라엘을 질투해 괴롭히다가
남조 카시안에게

죽임을 당하는 운명이다…

그런데,

""내가 왜 유니페가 된 거야!!""


하지만 다시 생각해보자.

유니페가 죽임을 당하는 건 1년 후니까
일단 이시드를 만나다가
이시드와 라엘이 만나면
빠져나오면 되니까,

일단 만나보는 거야!

그런데,
해도해도 너무 다정하고 따듯한 이 남자와
과연 헤어질 수 있을까?

『악녀의 남주님』 지금부터 시작합니다!",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=bwDGb7/hzKk1y8Uhb/fVJdiF82MShX1xSfniEIL0&filename=th3
148,149,아내가 돌아왔다 [19세 완전판],"신선,정다금,이보나",완결,웹툰,"“이혼해요, 우리.”

사랑 없는 정략결혼.
결혼은 비즈니스일 뿐이라 생각했던 남자, 최무원.
그런 그에게 이혼을 말한 여자, 이유래.
3년이 지난, 어느 날 예상치 못한 장소에서
낯선 관계로 재회하는데…….

“우리 연애할래요?”

아내가 돌아왔다.
그런데 이 여자, 그가 알던 예전의 ‘그 여자’ 맞아?
멈추었던 심장이 뛰기 시작한다.
하필이면 돌아온 아내에게, <아내가 돌아왔다>.",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=bAp70d/hynaCINXYt/qZIocEddpq0RtKZKX8Lzc1&filename=th3
149,150,다행인지 불행인지,"은렌,노희다",완결,로판,"어쩌다 보니 여주인공 등장 전, 남주의 아내 역할을 잠시 맡게 됐다. 이왕 그렇게 된 거 최선을 다해 보려 노력했다. 그랬더니…
“너 같은 아이가 세드릭의 반려가 되어 다행이구나.”

세드릭의 운명적 상대가 나면 그녀는 떠나야만 한다. 어떡하지? 이런 나에게 세드릭이 말했다.

“내가 사랑에 빠진 상대가 당신일 거라는 생각은, 단 한 번도 해본 적 없었습니까?”

여주인공 아델라인이 등장하고 나서도, 똑같이 내게 그렇게 말해줄 거야?",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=c5NA4L/hyRyPdwlCV/WcKIX0FGxV85JThH7RpYL1&filename=th3
150,151,이사님께 고백받았습니다,이태경,완결,웹툰,"후 스포츠 강성하 이사를 보좌한 지 1년.
'이윤서'의 보스 '강성하'는 미혼에 수려한 외모,
젊은 나이에 임원에 올라 회사 내 아이돌 같은 존재이다.

여배우와 염문을 뿌리기도 하고, 알 수 없는 구석도 있는 그이지만,
윤서는 직장 상사로서 유능한 그를 존경하며 자부심을 갖고 그를 모시고 있다. 

성하가 해외출장을 다녀오고, 여느 날과 별 다를 것 없이 바쁘지만 무사히 하루 업무를 마친 어느 날,
윤서는 퇴근길에 성하를 마주치고, 그에게서 뜻밖의 사귀자는 청을 받는데…….",카카오 웹툰,https://dn-img-page.kakao.com/download/resource?kid=bXKEco/hzab6WdrUI/gXbVRMFiykUvE52ZTHjHkK&filename=th3
