,id,title,director,actor,genre,story,platform,age,year,thumb,photo1,photo2,video
10,11,아가사 크리스티 - 명탐정 포와로,Agatha Christie,"David Suchet, Hugh Fraser, Philip Jackson","
범죄,?드라마,?미스터리
","미스터리 추리 소설의 여왕, 아가사 크리스티의 작품을 영상화한 시리즈. 멋진 콧수염이 트레이드 마크인 벨기에 출신의 명탐정 에르큘 포와로가 미궁에 빠진 사건들을 해결한다.",왓챠,15 이용가,1989,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/pWVZ6WUSZfqxTOllyiV9mM3jQ4g.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/pWVZ6WUSZfqxTOllyiV9mM3jQ4g.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/sCSp2AQEkx6tRRgUCRt2nK87d1u.jpg,없음
11,12,우주전쟁,Howard Overman,"L?a Drucker, Gabriel Byrne, Elizabeth McGovern","
Sci-Fi & Fantasy,?드라마
","천문학자 카트린은 외계 생명체가 보낸 것으로 의심되는 주파수를 발견한다. 얼마 지나지 않아 정체불명의 물체가 지구 곳곳에 떨어지며 폭격이 시작되고, 엄청난 자기장에 노출된 많은 사람이 죽게 된다. 겨우 살아남은 사람들마저 기괴한 로봇에 의해 살해되며 인류는 미증유의 대학살을 마주한다. 가족을 살리기 위해 고군분투하던 뇌과학 교수 빌은 외계 로봇이 단순한 로봇이 아닌 유기체와 결합한 존재임을 발견하고 연구를 시작한다. 한편 시각장애인 에밀리는 외계 주파수에 의한 시력 회복을 경험하고 그들과 소통할 수 있음을 믿게 된다.  미지의 외계 세력에 의한 전대미문의 인류 학살. 이제 생존자들은 답을 구해야만 한다.",왓챠,10 이용가,2019,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/yThmbQkxSzW4HHdAaoj8RYHFH3i.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/yThmbQkxSzW4HHdAaoj8RYHFH3i.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/2EwN8QwyJHIUtbWdfUU8Pohhk7N.jpg,없음
12,13,엘리멘트리,Robert Doherty,"Jonny Lee Miller, Lucy Liu, Jon Michael Hill","
드라마,?미스터리,?범죄
",고전 소설 셜록 홈즈의 현대판으로 전설적인 탐정 셜록 홈즈가 조안 왓슨 박사와 함께 뉴욕 경찰의 최대 난제들을 해결한다.,왓챠,15 이용가,2012,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/q9dObe29W4bDpgzUfOOH3ZnzDbR.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/q9dObe29W4bDpgzUfOOH3ZnzDbR.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/7sJrNKwzyJWnFPFpDL9wnZ859LZ.jpg,없음
13,14,머독 미스터리,Maureen Jennings,"Yannick Bisson, Helene Joy, Jonny Harris","
미스터리,?드라마
",1895년 빅토리아 시대 캐나다 토론토를 배경으로 형사 윌리엄 머독이 해박한 과학지식으로 사건을 해결해나가는 과정을 통해 당시 캐나다 사회의 어두운 부분을 조명한다.,왓챠,12세 이용가,2008,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/oDeViEDiqQtIaqIaxIQZgmxMgBz.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/oDeViEDiqQtIaqIaxIQZgmxMgBz.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/rmIrbTk6Qb08grYwJlGQok9VnGk.jpg,없음
14,15,CSI: 뉴욕,Anthony Zuiker,"Gary Sinise, Carmine Giovinazzo, Hill Harper","
범죄,?드라마,?미스터리
",제리 브룩하이머 사단이 제작한 CSI 과학수사대 시리즈의 두번째 스핀오프작. 2004년 9월부터 정식 방영을 시작했다. 뉴욕 주 뉴욕시를 배경으로 하고 있으며 뉴욕시경 범죄연구소 산하 과학수사대의 활약상을 다루고 있다.,왓챠,15 이용가,2004,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/8LarrkQqB3V2Ui7RLxL4DI0qXG7.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/8LarrkQqB3V2Ui7RLxL4DI0qXG7.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/p4GKINJxZoFbPEvX5NKIb4lzaL.jpg,없음
15,16,Hey Duggee,Grant Orchard,"Alexander Armstrong, Sander Jones, Jasmine Bartholomew","
애니메이션,?Kids,?가족
",Animated preschool series about a clubhouse that is run by a big dog called Duggee.,왓챠,U 이용가,2014,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/y0r27LkhX6AZNqo2Q5FUYmwi5wz.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/y0r27LkhX6AZNqo2Q5FUYmwi5wz.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/rLt2ZvpYJ210QcG6AAzcDzoHxzn.jpg,없음
16,17,굿 와이프,Michelle King,"Julianna Margulies, Christine Baranski, Matt Czuchry","
드라마
",스캔들로 철창신세가 된 정치인 남편 때문에 다시 변호사로 일하게 된 얼리샤 플로릭의 이야기를 담은 법정 드라마.,왓챠,TV-14 이용가,2009,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/lasNCd45fpPLirlA7QxkuopWro.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/lasNCd45fpPLirlA7QxkuopWro.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/wr3RtUspxiLV0TwBgdikTlTFSG5.jpg,없음
17,18,퍼슨 오브 인터레스트,Jonathan Nolan,"Jim Caviezel, Michael Emerson, Kevin Chapman","
드라마,?Action & Adventure,?범죄,?Sci-Fi & Fantasy
","죽은것으로 알려진 전직 CIA 작전요원인 존 리스가 천만장자인 핀치를 만나 뉴욕시에서 개발한 강력 범죄가 일어나기전 미리 범인을 찾아내는 일을 시작한다. 핀치가 개발한 소프트웨어인 ""더 머신""이 범죄를 예측하면 존이 그 정보를 바탕으로 범죄를 저지를 인물 (Person of Interest)을 찾아 그들만의 방법으로 예방한다.",왓챠,TV-14 이용가,2011,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/3GQOyrORNv0p8DLGHWSxPgfo0Ab.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/3GQOyrORNv0p8DLGHWSxPgfo0Ab.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/3sCIyApg6jDoiTRwrNHHETRLQ8F.jpg,없음
18,19,빅토리아,Daisy Goodwin,"Jenna Coleman, Tom Hughes, Nell Hudson","
드라마
",갑작스러운 국왕의 서거로 열여덟 살의 어린 나이에 왕위에 오른 빅토리아. 대영제국의 전성기를 상징하는 빅토리아 여왕의 재위 초창기 시절과 여왕의 성장 과정을 그려낸다.,왓챠,12 이용가,2016,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/wtu2oxkUuP8bQu8YY7slIlvvvpX.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/wtu2oxkUuP8bQu8YY7slIlvvvpX.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/rw3REQgh8BvTDmkN0Rup0dFATGm.jpg,없음
19,20,인데버,Russell Lewis,"Shaun Evans, Roger Allam, James Bradshaw","
범죄,?드라마,?미스터리
",영국 추리소설가 콜린 덱스터의 추리소설이자 인기 있는 드라마쇼였던 '모스 경감'의 젊은 시절 이야기를 다룬 프리퀄 드라마,왓챠,15 이용가,2013,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/cgJEnyi0GrsxQTpxPde5jakVmmr.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/cgJEnyi0GrsxQTpxPde5jakVmmr.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/3hiy2hzGxsFDDmYNCtBPzImV9t3.jpg,없음
20,21,런닝맨,Jo Hyo-jin,"Yoo Jae-suk, Jee Seok-jin, Kim Jong-kook","
코미디,?Reality
","대한민국 최고의 연예인들이 곳곳에 있는 미션을 해결하고, 끊임없는 질주와 긴박감 넘치는 대결을 통해 대한민국 랜드마크들의 숨겨진 뒷모습을 전격 공개하는 프로그램",왓챠,15 이용가,2010,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/ArntYxWZXArwegRh9IaOq2KD1JR.jpg,https://www.themoviedb.org//t/p/w300_and_h450_bestv2/ArntYxWZXArwegRh9IaOq2KD1JR.jpg,https://www.themoviedb.org//t/p/w533_and_h300_bestv2/rHuXgDmrv4vMKgQZ6pu2E2iLJnM.jpg,없음
