0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:18 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:18 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:18 +0900] "GET /AFO1/src/main/webapp/logo/AFO_logo.png HTTP/1.1" 404 865
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:48 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99841
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:48 +0900] "GET /logo/AFO_logo.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:49 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99841
0:0:0:0:0:0:0:1 - - [21/May/2023:15:26:49 +0900] "GET /logo/AFO_logo.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [21/May/2023:15:28:42 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99841
0:0:0:0:0:0:0:1 - - [21/May/2023:15:28:42 +0900] "GET /logo/AFO_logo.png HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [21/May/2023:15:30:51 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99840
0:0:0:0:0:0:0:1 - - [21/May/2023:15:30:51 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:32:04 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99839
0:0:0:0:0:0:0:1 - - [21/May/2023:15:32:05 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99839
0:0:0:0:0:0:0:1 - - [21/May/2023:15:32:05 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:32:05 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:32:05 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:32:05 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99839
0:0:0:0:0:0:0:1 - - [21/May/2023:15:32:05 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:32:05 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:32:05 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:32:05 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99839
0:0:0:0:0:0:0:1 - - [21/May/2023:15:32:05 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:32:05 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:32:05 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:32:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2023:15:32:53 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99873
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:03 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99873
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:04 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99873
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:05 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99873
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:05 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:05 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:05 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:05 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99873
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:05 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:05 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:05 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:05 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99873
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:05 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:05 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:05 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:06 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99873
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:06 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:06 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:06 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:07 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:10 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:10 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:10 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:10 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:10 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:10 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:10 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:10 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:10 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:10 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:10 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:10 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:22 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:22 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:22 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:22 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:23 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:23 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:23 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:23 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:23 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:23 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:23 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:23 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:23 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:24 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:24 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:24 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:24 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:24 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:24 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:24 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:24 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:25 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:26 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:26 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:26 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:26 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:27 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:27 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:27 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:27 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:28 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99875
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:28 +0900] "GET /AFO1/fix/MovieCSS.css HTTP/1.1" 200 468
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:28 +0900] "GET /AFO1/fix/text_decoration.css HTTP/1.1" 200 254
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:28 +0900] "GET /AFO1/logo/AFO_logo.png HTTP/1.1" 200 6601
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:28 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:35 +0900] "GET /AFO1/fix/header.jsp HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:35 +0900] "GET /AFO1/fix/logo/AFO_logo.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [21/May/2023:15:33:39 +0900] "GET /AFO1/fix/index.jsp HTTP/1.1" 404 809
