0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:05:23 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99449
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:05:35 +0900] "GET /AFO1/userInfo.jsp HTTP/1.1" 200 3440
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:05:39 +0900] "GET /AFO1/logoutAction.jsp HTTP/1.1" 200 277
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:05:40 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99326
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:05:41 +0900] "GET /AFO1/userLogin.jsp HTTP/1.1" 200 1970
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:06:24 +0900] "POST /AFO1/loginAction.jsp HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:06:25 +0900] "GET /AFO1/index.jsp HTTP/1.1" 200 99449
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:06:28 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 13173
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:06:31 +0900] "GET /AFO1/view.jsp?bbsID=15 HTTP/1.1" 200 7968
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:06:45 +0900] "POST /AFO1/submitAction.jsp?bbsID=15 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:06:45 +0900] "GET /AFO1/view.jsp?bbsID=15 HTTP/1.1" 200 9026
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:06:53 +0900] "GET /AFO1/view.jsp?bbsID=14 HTTP/1.1" 200 12098
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:06:56 +0900] "GET /AFO1/commentDeleteAction.jsp?bbsID=14&commentID=18 HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:06:56 +0900] "GET /AFO1/view.jsp?bbsID=14 HTTP/1.1" 200 11100
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:13 +0900] "POST /AFO1/submitAction.jsp?bbsID=14 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:13 +0900] "GET /AFO1/view.jsp?bbsID=14 HTTP/1.1" 200 12140
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:25 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 13173
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:30 +0900] "GET /AFO1/userInfo.jsp HTTP/1.1" 200 3447
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:33 +0900] "GET /AFO1/view.jsp?bbsID=5 HTTP/1.1" 200 8962
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:34 +0900] "POST /AFO1/deleteAction.jsp?bbsID=5 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:34 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 13157
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:35 +0900] "GET /AFO1/view.jsp?bbsID=4 HTTP/1.1" 200 8336
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:36 +0900] "POST /AFO1/deleteAction.jsp?bbsID=4 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:36 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 13160
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:37 +0900] "GET /AFO1/view.jsp?bbsID=6 HTTP/1.1" 200 8336
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:38 +0900] "POST /AFO1/deleteAction.jsp?bbsID=6 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:38 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 13164
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:39 +0900] "GET /AFO1/view.jsp?bbsID=7 HTTP/1.1" 200 8352
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:40 +0900] "POST /AFO1/deleteAction.jsp?bbsID=7 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:40 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 13166
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:41 +0900] "GET /AFO1/view.jsp?bbsID=9 HTTP/1.1" 200 8336
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:41 +0900] "POST /AFO1/deleteAction.jsp?bbsID=9 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:41 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 12494
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:42 +0900] "GET /AFO1/view.jsp?bbsID=10 HTTP/1.1" 200 8341
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:43 +0900] "POST /AFO1/deleteAction.jsp?bbsID=10 HTTP/1.1" 200 297
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:43 +0900] "GET /AFO1/bbs.jsp HTTP/1.1" 200 11818
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:50 +0900] "GET /AFO1/bbs.jsp?pageNumber=2 HTTP/1.1" 200 8291
0:0:0:0:0:0:0:1 - - [25/Apr/2023:20:07:52 +0900] "GET /AFO1/bbs.jsp?pageNumber=1 HTTP/1.1" 200 11818
