0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:47:20 +0900] "GET /AFO1/view.jsp?bbsID=47 HTTP/1.1" 200 10421
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:47:25 +0900] "GET /AFO1/view.jsp?bbsID=48 HTTP/1.1" 200 9311
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:47:28 +0900] "POST /AFO1/submitAction.jsp?bbsID=48 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:47:28 +0900] "GET /AFO1/view.jsp?bbsID=48 HTTP/1.1" 200 10326
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:47:36 +0900] "POST /AFO1/submitAction.jsp?bbsID=48 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:47:36 +0900] "GET /AFO1/view.jsp?bbsID=48 HTTP/1.1" 200 11366
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:47:39 +0900] "GET /AFO1/view.jsp?bbsID=49 HTTP/1.1" 200 9430
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:47:44 +0900] "POST /AFO1/submitAction.jsp?bbsID=49 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:47:44 +0900] "GET /AFO1/view.jsp?bbsID=49 HTTP/1.1" 200 10455
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:47:48 +0900] "GET /AFO1/view.jsp?bbsID=50 HTTP/1.1" 200 9350
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:47:52 +0900] "POST /AFO1/submitAction.jsp?bbsID=50 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:47:52 +0900] "GET /AFO1/view.jsp?bbsID=50 HTTP/1.1" 200 10400
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:47:55 +0900] "GET /AFO1/view.jsp?bbsID=51 HTTP/1.1" 200 10507
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:48:06 +0900] "POST /AFO1/submitAction.jsp?bbsID=51 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:48:06 +0900] "GET /AFO1/view.jsp?bbsID=51 HTTP/1.1" 200 11569
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:48:12 +0900] "GET /AFO1/write_movie.jsp HTTP/1.1" 200 6033
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:48:12 +0900] "GET /AFO1/css/bootstrap.css HTTP/1.1" 404 837
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:48:24 +0900] "POST /AFO1/writeAction_movie.jsp HTTP/1.1" 200 219
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:48:24 +0900] "GET /AFO1/bbs_movie.jsp HTTP/1.1" 200 12160
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:48:31 +0900] "GET /AFO1/view.jsp?bbsID=44 HTTP/1.1" 200 8547
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:48:40 +0900] "POST /AFO1/submitAction.jsp?bbsID=44 HTTP/1.1" 200 189
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:48:40 +0900] "GET /AFO1/view.jsp?bbsID=44 HTTP/1.1" 200 9587
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:48:46 +0900] "GET /AFO1/bbs.jsp?pageNumber=2 HTTP/1.1" 200 13368
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:48:48 +0900] "GET /AFO1/bbs.jsp?pageNumber=1 HTTP/1.1" 200 13352
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:48:52 +0900] "GET /AFO1/bbs_collection.jsp HTTP/1.1" 200 5271
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:48:53 +0900] "GET /AFO1/bbs_movie.jsp HTTP/1.1" 200 12160
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:48:55 +0900] "GET /AFO1/bbs.jsp?pageNumber=2 HTTP/1.1" 200 13368
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:48:56 +0900] "GET /AFO1/bbs.jsp?pageNumber=1 HTTP/1.1" 200 13352
0:0:0:0:0:0:0:1 - - [22/Jun/2023:13:48:58 +0900] "GET /AFO1/bbs.jsp?pageNumber=2 HTTP/1.1" 200 13368
